	TCGA-E9-A1RD-11A-33R-A156-13	TCGA-BH-A0HK-11A-11R-A090-13	TCGA-BH-A18U-11A-23R-A12C-13	TCGA-BH-A18P-11A-43R-A12C-13	TCGA-BH-A0DV-11A-22R-A12O-13	TCGA-BH-A18L-11A-42R-A12C-13	TCGA-E9-A1N6-11A-32R-A143-13	TCGA-BH-A0BS-11A-11R-A12O-13	TCGA-BH-A18Q-11A-34R-A12C-13	TCGA-E9-A1R7-11A-42R-A14L-13	TCGA-BH-A1FH-11B-42R-A13P-13	TCGA-E2-A1IG-11A-22R-A143-13	TCGA-BH-A18M-11A-33R-A12C-13	TCGA-BH-A0DQ-11A-12R-A090-13	TCGA-A7-A0CE-11A-21R-A090-13	TCGA-BH-A1FJ-11B-42R-A13P-13	TCGA-BH-A0B7-11A-34R-A114-13	TCGA-BH-A0BC-11A-22R-A090-13	TCGA-BH-A0B5-11A-23R-A12O-13	TCGA-BH-A1FM-11B-23R-A13P-13	TCGA-E9-A1NF-11A-73R-A14C-13	TCGA-A7-A0DB-11A-33R-A090-13	TCGA-BH-A0BQ-11A-33R-A114-13	TCGA-BH-A0BJ-11A-23R-A090-13	TCGA-BH-A0BV-11A-31R-A090-13	TCGA-BH-A1FN-11A-34R-A13P-13	TCGA-E2-A15K-11A-13R-A12O-13	TCGA-BH-A0DK-11A-13R-A090-13	TCGA-E2-A1L7-11A-33R-A143-13	TCGA-BH-A18R-11A-42R-A12C-13	TCGA-BH-A0BZ-11A-61R-A12O-13	TCGA-BH-A1FC-11A-32R-A13P-13	TCGA-E2-A158-11A-22R-A12C-13	TCGA-BH-A0H7-11A-13R-A090-13	TCGA-BH-A0DG-11A-43R-A12O-13	TCGA-BH-A1FE-11B-14R-A13P-13	TCGA-E9-A1RH-11A-34R-A168-13	TCGA-BH-A0C3-11A-23R-A12O-13	TCGA-AC-A2FM-11B-32R-A19V-13	TCGA-GI-A2C9-11A-22R-A21U-13	TCGA-BH-A204-11A-53R-A156-13	TCGA-BH-A203-11A-42R-A168-13	TCGA-GI-A2C8-11A-22R-A16E-13	TCGA-BH-A0DP-11A-12R-A090-13	TCGA-BH-A1FB-11A-33R-A13P-13	TCGA-BH-A1EO-11A-31R-A136-13	TCGA-E9-A1RI-11A-41R-A168-13	TCGA-BH-A0DT-11A-12R-A12C-13	TCGA-A7-A13G-11A-51R-A13P-13	TCGA-BH-A209-11A-42R-A156-13	TCGA-BH-A1EV-11A-24R-A136-13	TCGA-E9-A1NA-11A-33R-A143-13	TCGA-A7-A13E-11A-61R-A12O-13	TCGA-E9-A1RC-11A-33R-A156-13	TCGA-A7-A13F-11A-42R-A12O-13	TCGA-BH-A1F2-11A-32R-A13P-13	TCGA-BH-A0C0-11A-21R-A090-13	TCGA-BH-A1F0-11B-23R-A136-13	TCGA-BH-A0BT-11A-21R-A12O-13	TCGA-E9-A1N5-11A-41R-A14C-13	TCGA-E9-A1N4-11A-33R-A14L-13	TCGA-AC-A23H-11A-12R-A156-13	TCGA-BH-A1EU-11A-23R-A136-13	TCGA-BH-A18J-11A-31R-A12C-13	TCGA-BH-A208-11A-51R-A156-13	TCGA-BH-A1F6-11B-94R-A13P-13	TCGA-E2-A1LS-11A-32R-A156-13	TCGA-E9-A1NG-11A-52R-A14L-13	TCGA-BH-A0HA-11A-31R-A12O-13	TCGA-E2-A1BC-11A-32R-A12O-13	TCGA-E2-A1LB-11A-22R-A143-13	TCGA-E2-A153-11A-31R-A12C-13	TCGA-BH-A0E1-11A-13R-A090-13	TCGA-E9-A1RB-11A-33R-A156-13	TCGA-BH-A0B3-11B-21R-A090-13	TCGA-BH-A1EN-11A-23R-A13P-13	TCGA-E2-A1LH-11A-22R-A14C-13	TCGA-BH-A1FR-11B-42R-A13P-13	TCGA-BH-A0DD-11A-23R-A12O-13	TCGA-BH-A1F8-11B-21R-A13P-13	TCGA-BH-A0BW-11A-12R-A114-13	TCGA-A7-A0DC-11A-41R-A090-13	TCGA-BH-A1EW-11B-33R-A136-13	TCGA-BH-A18N-11A-43R-A12C-13	TCGA-BH-A0AY-11A-23R-A090-13	TCGA-E9-A1RF-11A-32R-A156-13	TCGA-BH-A18K-11A-13R-A12C-13	TCGA-BH-A1FU-11A-23R-A14C-13	TCGA-BH-A1FG-11B-12R-A13P-13	TCGA-BH-A0AU-11A-11R-A12O-13	TCGA-BH-A0DO-11A-22R-A12C-13	TCGA-BH-A0AZ-11A-22R-A12O-13	TCGA-BH-A1ET-11B-23R-A136-13	TCGA-E9-A1ND-11A-43R-A143-13	TCGA-AC-A2FB-11A-13R-A17A-13	TCGA-BH-A0DZ-11A-22R-A090-13	TCGA-BH-A0DL-11A-13R-A114-13	TCGA-E9-A1N9-11A-71R-A14C-13	TCGA-E2-A15M-11A-22R-A12C-13	TCGA-E2-A15I-11A-32R-A136-13	TCGA-BH-A18S-11A-43R-A12C-13	TCGA-A7-A0D9-11A-53R-A090-13	TCGA-BH-A0H5-11A-62R-A114-13
hsa-miR-150-5p	607.704299	539.501037	2397.897101	698.019068	658.933409	721.613641	1441.25173	1521.393974	991.070269	1411.192966	794.648175	790.536513	923.805242	456.098722	278.499148	1781.14628	868.093843	161.405777	764.419316	1257.712976	1304.38089	958.612033	4369.271978	444.524314	234.94721	1000.124832	879.70059	275.877529	1412.643539	571.426972	966.324537	1065.858683	370.568759	575.219555	986.67688	1093.106241	858.100113	676.226103	1881.3411	1095.606376	847.702684	717.060721	188.886928	374.222497	663.383973	772.624803	1102.778336	649.46772	944.801085	1289.34453	851.608892	871.297674	947.185723	881.16064	942.291531	745.687657	388.838957	635.192952	532.940596	531.353124	895.056788	914.30605	589.630613	1106.54226	451.986084	497.282941	853.137993	1252.85952	954.576011	1023.617324	987.442437	830.616812	573.264492	797.668354	872.139003	1413.516566	694.134008	794.385279	1543.57503	1328.185434	4520.058036	734.014754	642.357564	588.908272	733.791553	1338.098166	790.482591	782.795816	864.896723	1176.582423	725.574034	601.215012	712.026404	1647.998826	964.859175	387.199453	794.524502	793.438497	895.761941	1392.348039	1121.968994	931.777689	563.129374
hsa-miR-154-5p	2.068194	5.284517	4.120098	6.458539	7.694551	10.214956	4.938721	12.501753	6.731407	3.798294	2.105028	5.666928	8.72985	17.405636	5.636597	5.107229	16.003529	5.400193	5.729775	10.381123	5.739849	11.821449	11.912329	10.367914	15.352986	3.67153	9.884276	5.441371	12.996465	2.798369	7.116956	6.984657	3.431193	5.534283	7.043822	7.629735	13.719624	16.577949	5.898942	17.430458	14.235889	3.267855	2.404501	14.364096	10.929314	24.342107	8.459669	13.963712	2.840083	15.300008	7.21281	5.908438	10.937479	8.157288	16.990637	3.958002	11.4473	5.188274	6.742373	47.706627	10.280235	4.589181	8.628741	7.968926	26.299247	1.661302	5.350691	7.345388	14.425111	16.525187	32.711883	9.867866	15.053569	8.245154	4.424294	16.886211	8.151141	16.516394	13.886066	20.942903	6.661512	7.843435	6.426496	2.109522	2.156942	9.296074	12.481304	8.080055	4.659376	20.924993	9.242981	50.514457	4.732502	7.10855	7.587757	17.420016	9.388038	1.06359	11.34195	14.089027	7.561712	5.0889	18.921599
hsa-miR-154-3p	0.689398	2.882464	1.373366	0.993622	0.699505	2.188919	3.419113	1.041813	1.294501	1.01288	0.526257	1.416732	1.247121	5.683473	2.305881	0.638404	1.56132	2.400085	0.337046	2.395644	0.956641	8.060079	9.359686	3.887967	7.443872	NA	2.824078	1.632411	1.444052	0.559674	1.186159	1.047699	NA	3.113034	0.541832	2.054159	3.429907	2.313201	NA	5.653121	2.891665	0.466836	1.335834	2.646019	1.779191	1.896788	0.302131	0.930914	0.946694	5.206253	1.243588	1.181688	3.437493	1.562034	1.836825	2.770601	2.584875	1.729425	2.052028	14.257153	1.893727	1.412056	1.150499	1.138418	4.555098	1.661302	0.594521	1.318402	1.83176	NA	3.803706	3.003263	2.764941	1.206608	2.765185	2.110776	1.287022	4.795082	2.221771	3.377888	2.220504	2.614478	NA	1.054761	1.294164	1.251396	NA	NA	0.582422	0.597857	2.310745	4.338665	0.430227	4.936493	2.630422	3.563184	1.482323	4.786157	1.260216	1.056677	1.417821	1.01778	5.365827
hsa-miR-184	5.170485	0.480411	455.957524	NA	3.497524	1.824099	0.474877	2.083626	1.035601	0.25322	3.157542	NA	2.182462	0.355217	4.355553	3.192018	2.34198	0.600021	NA	0.798548	0.23916	1.074678	2.552642	3.455971	2.32621	2.202918	12.708356	25.030308	1.444052	NA	1.581545	1.396932	1.143731	6.571961	NA	0.586903	0.623619	2.698736	1.685412	1.727342	1.112179	NA	3.740335	1.134008	1.01668	0.632262	NA	2.172132	5.206819	0.425	0.746153	NA	0.624998	0.173559	0.459206	1.583201	2.215607	0.247061	2.638321	1.645056	1.217396	0.882535	0.575249	1.138418	1.804851	2.215069	0.396348	0.941717	0.68691	NA	6.846672	3.861338	1.843294	0.402203	1.65911	26.032908	0.429007	NA	1.110885	0.675578	1.776403	2.614478	7.59495	0.703174	0.431388	0.178771	2.080218	1.616011	0.873633	1.195714	3.697192	2.479238	1.72091	0.394919	0.607021	13.460921	1.235269	0.531795	1.51226	NA	2.835642	NA	0.282412
hsa-miR-185-5p	47.568459	84.552255	68.668302	26.330968	23.783159	35.752344	57.934995	28.823488	21.229823	33.424992	48.415651	16.646602	32.113378	40.139529	64.820869	41.496239	19.906828	82.802963	88.980026	23.956437	49.984526	384.734428	51.052837	57.455523	52.572346	25.700711	67.071875	61.487496	21.660775	24.065975	80.263452	30.383259	135.722715	55.688725	22.756962	16.139824	30.557344	38.167836	21.489003	108.979623	18.462169	18.20662	79.882874	40.824274	25.162839	81.877997	77.043417	25.444985	55.854973	27.837516	26.364061	33.875045	89.062332	90.771523	72.095404	37.601023	34.341903	39.035584	27.848932	28.514306	9.198106	28.064606	27.324345	28.460449	15.642036	37.656169	93.736183	35.596879	13.967171	113.787718	15.97557	24.026107	49.154511	313.014194	69.682635	31.661645	28.31449	36.762296	88.87082	27.698679	47.962888	89.545878	19.571602	27.775375	52.197988	61.497097	30.509855	12.604887	22.423248	17.337851	19.872409	33.779607	13.767278	62.594732	27.720605	43.55004	37.799206	26.057966	94.768286	24.655797	52.931983	379.123091	14.68542
hsa-miR-186-5p	63.079914	194.085859	323.427702	315.47481	415.505782	411.51678	265.741172	342.756415	413.981544	273.223976	224.185511	308.493414	275.302068	246.875863	169.610337	366.443717	315.386614	175.806291	645.442236	369.727689	332.432973	689.405405	420.335029	222.910149	237.738663	242.320994	574.700065	211.669347	422.0241	223.309856	626.687556	309.769546	328.250722	300.926646	425.880298	323.383375	340.184312	364.714878	170.647962	224.554552	593.681047	271.23195	168.84942	417.314787	343.63798	620.565666	494.588529	336.990896	371.577579	452.519023	264.635473	342.68941	600.311372	443.791165	604.315621	265.186161	309.44639	423.21491	259.434778	545.061924	387.673079	232.81268	316.674784	288.019745	369.478642	259.163046	100.474091	283.833328	427.944967	489.145547	444.273023	211.086504	337.630053	557.955589	278.177503	684.59513	219.651799	412.377066	703.190352	687.737932	293.994737	212.426356	276.631471	264.393445	237.694969	381.138986	350.169918	237.23044	455.745244	354.529157	363.711316	581.691021	423.343795	304.680347	185.0401	256.153421	257.924	325.458686	431.750198	698.111262	403.133763	353.169696	281.8471
hsa-miR-188-5p	NA	NA	0.686683	0.496811	0.699505	0.36482	0.284926	0.694542	NA	1.519318	0.526257	NA	0.31178	NA	NA	NA	0.39033	NA	1.685229	NA	1.434962	NA	0.850881	0.431996	NA	NA	0.70602	0.544137	1.805065	0.559674	0.395386	1.047699	0.381244	NA	NA	0.586903	0.31181	0.771068	0.421353	0.471093	0.444872	NA	2.404501	2.646018	0.25417	1.580657	0.604262	0.62061	NA	0.53125	0.248718	0.393896	0.312499	0.347119	1.836825	NA	0.738536	0.988243	1.172586	3.838464	0.541065	NA	0.287625	1.138418	0.085945	0.553767	NA	0.753373	0.22897	NA	0.760741	1.287113	NA	1.206608	NA	0.703592	NA	0.532787	0.555443	NA	0.888202	NA	0.876339	NA	NA	1.251395	1.386812	0.323202	0.291211	NA	NA	0.61981	NA	0.592379	0.40468	NA	1.235268	0.531795	0.504087	0.704452	NA	NA	1.129648
hsa-miR-190a-5p	7.928077	5.764927	4.806781	2.484053	3.497523	6.566758	7.787983	6.250877	2.847903	11.141663	2.105028	3.187647	4.988486	2.486519	1.793463	1.276808	5.85495	3.600128	21.90796	4.791288	7.653133	15.58282	5.105284	4.319964	2.791452	1.468612	7.060198	1.088274	2.166078	5.596739	7.907728	6.984658	11.437308	3.113035	4.334659	7.629733	4.677144	6.554073	2.949471	9.421869	6.2282	3.73469	8.282171	7.560052	4.320891	18.651745	9.366062	6.206093	5.680166	4.356252	2.735894	6.302335	14.062474	11.107797	9.184128	8.311804	4.431215	12.105973	4.397201	13.160449	4.193253	3.530139	3.163871	2.276836	4.984825	3.87637	8.917819	8.287103	9.1588	10.38726	9.128898	6.435565	5.529881	44.141739	8.295552	7.739513	6.006103	4.262295	8.331639	10.809241	5.32921	1.30724	2.044793	6.680153	2.156941	12.871486	4.160435	1.616011	3.203321	1.793571	11.091577	6.817902	2.581364	6.516171	9.813498	3.563185	1.235269	4.786156	5.040866	10.56677	8.506926	6.10668	4.236179
hsa-miR-193a-3p	11.375067	4.804106	13.73366	14.904321	16.788111	9.850136	12.061875	15.627192	17.864119	21.270449	2.631285	9.562941	8.72985	11.722163	5.12418	2.553614	9.75825	10.800385	17.863416	7.98548	12.6755	18.269515	19.570254	6.047947	5.582904	2.202918	7.060197	7.617919	15.523555	10.074128	17.792391	13.969315	6.481141	9.684996	8.127486	12.031504	24.321152	16.963482	5.898942	15.546084	50.048047	15.872437	1.603001	30.618204	12.454334	24.974369	24.472614	12.412188	14.673764	30.493768	10.694856	8.665711	20.937459	19.438642	21.123493	7.520204	14.770712	27.670794	11.432719	15.902208	30.570172	6.530758	19.55848	9.107344	14.782584	6.091439	12.286773	23.731253	19.233481	48.159117	20.540019	6.435564	12.595843	12.166631	16.591103	18.996987	9.438163	27.704919	42.213641	19.591748	5.77331	15.68687	9.639744	6.328566	6.470826	31.284861	4.853841	7.756852	14.56055	6.576427	14.326621	22.62304	15.918412	15.204399	10.72403	13.065011	12.105628	5.317952	7.813343	28.882504	11.815175	10.1778	13.273362
hsa-miR-194-5p	84.106551	136.436594	232.09886	108.304739	97.930656	125.133206	121.473537	168.079133	133.592544	82.296378	111.566499	79.691181	113.799834	276.003665	125.029975	86.184497	115.53767	105.60378	153.355728	100.617039	94.946684	249.325107	211.018395	133.054897	154.925586	76.367828	110.13908	156.167359	170.759108	138.239434	135.617558	74.735832	191.384277	122.100121	109.991986	86.568146	79.199646	111.804773	88.905481	196.760038	58.055734	85.897898	147.743243	156.493046	104.718082	103.691054	183.393548	82.541048	120.230197	61.412536	113.415203	85.475405	163.437192	169.046773	168.528748	104.887063	155.830996	91.906567	139.830949	157.925387	73.043776	128.673573	104.120138	112.703378	123.159548	92.479121	200.155488	75.714	109.2187	147.78239	135.411982	88.810785	133.946045	936.327706	342.882805	68.248434	108.10987	86.844266	94.425244	69.584486	130.121537	133.992008	141.382928	107.58563	103.101811	106.010985	130.360288	124.43286	70.181855	87.287111	110.453626	698.215167	73.56889	88.264495	104.913385	172.616525	83.257078	138.798558	141.396299	146.525877	112.007857	308.896263	137.534606
hsa-miR-195-5p	62.390515	140.760291	84.462011	58.623666	155.29004	107.621854	107.037277	172.593658	125.307737	66.596761	76.833532	78.982814	92.286991	144.573348	137.584217	52.987506	133.883179	294.610547	86.620707	66.279477	53.571933	128.961262	119.974167	126.142951	153.52986	47.729892	137.673848	164.873552	92.058294	120.889547	117.825167	93.594407	32.405705	137.665292	146.83659	98.012748	101.961752	219.368673	33.286887	141.485072	83.413411	97.101972	37.67052	173.881162	112.343185	121.394404	79.460467	175.011847	53.014891	192.737616	99.984457	68.931779	89.999832	61.613556	154.29335	98.158459	249.625011	124.765633	132.795431	105.283591	157.179386	74.485937	153.879209	93.350273	167.077572	67.00583	72.531593	84.189447	283.922823	175.639134	149.86607	69.93313	278.951852	52.587994	142.68349	92.170567	142.430463	110.819677	67.208557	104.71452	63.950517	62.093859	103.116059	56.957098	112.160965	93.49704	105.39768	69.48848	92.896314	142.887805	171.457303	198.958784	143.265734	68.715982	207.60103	135.401036	81.527703	77.110309	78.385471	127.153463	83.651437	49.871225	143.747669
hsa-miR-206	NA	NA	NA	NA	1.399009	0.36482	2.659311	NA	1.294501	6.330491	NA	1.770915	0.623561	2.131302	1.537254	2.553615	0.78066	0.600021	21.23387	13.575315	0.478321	NA	4.254403	3.455971	2.32621	NA	NA	2.176548	0.722026	NA	2.372318	0.698466	2.668705	0.691785	0.541832	0.586902	NA	1.542135	1.264059	1.41328	2.669229	NA	30407.589673	0.756005	NA	10.1162	0.302131	0.620609	NA	0.10625	NA	NA	2.499995	1.041356	NA	0.7916	0.369268	0.741182	NA	4.386816	0.270533	1.059042	NA	1.138418	2.148632	NA	52.516044	0.753373	0.68691	158.169651	1.521483	NA	1.843294	93.311008	0.553037	0.703592	1.287022	NA	NA	0.675578	NA	NA	NA	0.351587	0.862777	32.893796	0.693406	2.262416	0.873633	1.793571	1.848596	1.549524	NA	0.19746	0.10117	3.167276	0.247054	1.06359	2.016347	NA	NA	5.597791	0.564824
hsa-miR-320a-3p	421.222151	457.350836	560.333343	769.559811	850.597695	627.490128	220.912783	521.600948	924.273997	1253.94358	544.14981	449.812442	861.449168	751.284107	543.163013	986.972098	325.925524	310.211104	699.369526	535.825656	611.294014	717.88435	201.658708	507.59579	737.873815	657.203909	811.216676	387.425641	1050.186571	394.570047	719.998764	480.19518	773.161978	690.747717	646.947936	670.82976	783.577613	407.894649	2532.752822	891.15181	1230.514629	418.285419	147.208909	941.604284	792.248216	825.418724	563.172277	627.125782	878.53247	826.519248	514.099178	212.309876	874.373355	881.334201	990.048998	607.949172	573.47284	510.674381	482.812522	709.567535	630.881802	1180.478544	361.256612	695.573377	960.781978	387.08327	807.359856	727.570101	518.846063	923.521903	383.413701	479.664046	568.656257	1476.888033	514.877242	647.304747	317.036484	635.614783	518.783405	786.372255	339.293018	730.093036	495.132364	501.71469	733.360166	749.406482	812.671577	606.650593	870.138521	1107.231024	590.164359	768.873429	445.285395	316.527934	757.156973	658.397436	422.955829	259.516074	631.620547	998.559751	544.91586	900.226505	258.689322
hsa-miR-200c-3p	1167.15074	3490.182572	10579.72527	2864.610631	6587.935084	3751.44241	7271.411776	5224.691245	4172.695808	956.410522	3573.811761	3757.881899	3026.452069	5446.188164	3875.929271	5873.9523	6104.370333	3699.132427	23.256143	3466.496526	29.655891	60.181922	5554.548682	5920.510929	9148.053495	4435.942812	2421.647694	7711.511547	5816.640096	4049.799776	2524.147236	2691.537636	683.95098	8568.108002	5858.834222	5436.479521	1008.080549	6393.690816	20783.236219	6852.996696	575.441314	4830.823152	53.967695	10351.599048	6295.793506	60.064939	701.850431	5521.871981	62.955182	2392.113949	3600.43526	2964.066456	1327.185007	79.316605	3764.114853	2180.067734	4604.399754	1898.167034	5736.29349	12403.174738	5111.846931	4358.309835	5066.508898	5207.123765	8126.123627	4159.89917	163.29517	1321.981506	5508.10279	65.6286	7902.582484	5641.415516	7463.19095	1495.489901	3617.41358	2057.303354	6446.26553	3239.877183	363.814914	3461.659289	4210.963877	5861.006495	6006.145481	5821.929606	3175.449516	45.22897	7153.867436	5040.338869	4444.171353	9263.793009	6251.490429	7493.804232	3002.127042	3384.064686	4184.091527	6455.699712	3893.318288	5871.551238	1551.830692	949.600383	4844.694255	26.971172	5485.00435
hsa-miR-155-5p	93.413423	87.91513	749.857857	55.642802	136.403413	111.99969	126.222306	189.609931	131.262442	112.682731	93.673758	132.110268	160.566889	124.325975	156.031262	129.595949	103.047111	189.606788	76.84639	104.609778	112.405392	147.230771	61.263404	97.199192	70.716784	213.683058	194.155429	80.532296	579.786744	118.65085	156.96843	264.718507	59.473998	123.829586	230.278788	152.888147	116.304992	247.898166	104.495542	127.038205	174.834509	141.918267	40.876522	149.689	148.68951	222.240278	71.302927	127.224924	58.695056	475.256536	149.479249	89.808259	178.124665	103.267793	174.039225	91.825654	186.110954	388.873477	102.601326	212.760589	262.145997	121.7898	109.585007	150.271171	147.052328	115.737344	43.003704	113.947686	222.329888	112.843422	140.737171	237.257798	107.525495	147.306711	125.539351	206.856083	151.43962	421.967231	113.310295	179.028048	881.096005	80.395205	267.283842	117.781653	146.240644	95.999828	86.675722	107.303142	204.430134	130.33281	179.313837	160.840511	158.323695	162.706809	227.936218	114.021924	278.182399	117.526746	119.720575	100.384315	260.406452	58.522356	98.27935
hsa-miR-106b-5p	75.489077	83.591436	196.391342	56.636422	84.640067	65.302751	92.316089	92.374069	82.07139	95.463799	52.625706	55.606734	71.709484	97.329477	90.697975	37.665818	96.411502	173.406207	134.14413	56.696902	65.769114	261.146555	120.825048	101.087163	97.235578	46.995587	126.377533	102.841918	135.740857	66.601185	126.128284	79.275858	116.279291	105.497273	101.322667	87.448499	74.834313	139.563199	32.865534	168.808492	98.539044	77.96168	145.605908	133.434892	88.959536	170.078618	137.469627	121.949743	71.002086	119.743822	66.656304	59.478277	124.374766	197.510499	146.027635	62.932238	153.246123	144.777546	98.497272	211.663886	129.990869	64.778055	92.61515	52.367226	100.29811	83.618846	202.137225	87.579627	124.78866	256.376479	172.688315	74.652544	119.199693	710.893138	94.569292	77.395132	100.387736	119.877054	83.316394	79.042573	103.031388	71.244533	57.83847	57.308685	62.982696	133.362891	63.793333	54.621179	64.357634	55.600695	92.891963	170.137652	58.080702	56.473481	100.360731	140.943767	86.715828	53.179524	99.305066	79.955225	86.959686	218.822721	99.69141
hsa-miR-29c-3p	1977.882736	1513.2932	2239.273323	1345.36344	1883.0666	1982.066188	2439.633157	2248.926585	2447.384342	1399.291643	625.193398	1403.273147	1277.052401	1361.902258	1736.584388	910.363654	1251.00754	2739.698079	1350.204487	702.722172	949.94516	2015.01969	1489.041082	1323.205034	943.976023	474.361704	1959.204767	1434.345502	1431.41621	2020.982173	1447.509875	2195.626976	1021.732792	1897.567336	1566.437598	1551.183781	2312.692056	3832.20494	1055.910592	2604.989853	2887.883479	3180.089612	4012.845381	3104.912715	1858.745981	1681.81831	1833.935481	3110.494225	933.914097	4189.015039	1366.454223	1182.869312	1289.68508	1619.829082	1654.061448	1247.562365	3629.902125	4069.583153	1912.781838	973.873218	4364.095087	1377.283801	2694.180461	1678.028079	1983.100757	1100.335417	1614.917885	2546.401193	2236.80812	3475.955141	1157.84853	1310.280856	1703.20383	1859.583825	1614.314363	1999.608803	2495.536176	2050.696806	1259.743854	1917.289044	1956.264066	1130.1082	1455.893636	1057.222195	1768.260774	2118.968281	1266.158957	1006.128558	2771.746474	927.276087	3510.022165	1592.599975	1872.780026	1792.539342	5292.409896	1321.545787	1791.632985	1319.383989	1506.714935	1115.146445	2139.964451	824.401886	1432.110859
hsa-miR-200a-3p	23.78423	77.826508	343.341509	42.228911	71.349479	71.50469	126.22231	105.570365	70.679776	20.004352	26.83911	42.856146	48.325959	116.511199	45.092779	45.326662	98.753482	69.602492	0.337046	34.337562	0.71748	4.298709	149.754989	141.694823	258.209311	35.246691	30.358849	161.608728	87.004113	57.086731	31.235531	27.240163	7.243629	139.740652	101.864498	100.947261	17.773151	206.260529	60.67483	143.997571	10.899353	36.880075	1.335835	254.395699	106.497273	2.212919	12.387373	101.469636	NA	57.800035	45.515313	71.295153	19.999962	1.388475	51.890322	24.143815	129.24372	37.059099	74.459248	293.916692	180.039383	58.423804	96.641897	54.644062	185.383909	31.56473	1.981737	29.758236	148.601542	2.360741	169.645347	62.639491	214.129341	11.060572	67.470488	33.772421	101.674758	47.418035	3.332656	84.447194	89.264264	40.524413	57.838469	45.706314	37.530784	1.608936	76.968042	38.784268	53.291616	57.992123	82.724682	148.444328	31.83683	59.435375	60.904396	144.111042	42.246172	87.214419	36.294238	19.724638	74.671905	0.50889	103.645178
hsa-miR-302a-5p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.534334	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-302a-3p	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-34b-5p	NA	NA	NA	0.496811	NA	1.09446	0.094975	1.041813	0.517801	0.759659	NA	NA	0.31178	1.065651	NA	0.638404	1.17099	NA	NA	NA	0.23916	NA	NA	0.431996	1.395726	NA	NA	NA	2.527091	0.559674	0.790773	0.349233	0.381244	0.691786	0.541832	1.467256	NA	0.385534	NA	0.471093	0.222436	0.466836	NA	1.512011	2.033361	0.632262	NA	1.551524	0.946694	1.0625	NA	0.393896	NA	0.173559	NA	0.3958	0.738536	0.741182	0.586294	NA	0.811597	0.529521	0.287625	NA	1.031342	NA	0.198174	1.130059	0.22897	1.416444	NA	NA	NA	0.100551	NA	NA	1.287022	0.532787	1.110886	1.351155	0.444101	0.65362	NA	NA	NA	0.178771	0.693406	NA	0.291211	NA	0.924298	0.929714	0.430227	NA	0.30351	NA	0.741162	2.12718	1.008173	0.704451	NA	1.01778	0.564824
hsa-miR-34c-5p	1.723495	2.882464	3.433415	5.464918	13.29059	9.485316	2.564336	3.472709	13.721714	6.33049	14.208941	4.250196	28.060232	8.52521	9.223523	6.384036	3.9033	7.800279	1.685228	4.791288	2.630764	3.761371	5.956165	8.639928	11.165808	14.686121	7.766218	4.353097	22.382801	3.358043	4.744637	10.826219	2.668705	9.684996	11.920313	11.15115	4.988955	4.240871	4.634883	13.347648	7.785252	5.602036	1.870168	13.608093	7.625103	6.954887	3.02131	21.721329	0.473347	11.368757	4.228199	4.332855	7.499985	4.512541	8.72492	5.541203	8.862428	10.376549	14.07104	12.063745	9.468638	7.413292	6.040119	5.69209	13.75124	18.828084	0.792695	6.592014	8.700861	4.249333	3.803707	16.732467	10.445334	5.228633	3.318221	7.739513	7.293126	3.196722	2.221771	10.809241	6.661513	4.575337	8.179177	4.922218	5.608049	4.290496	9.014275	11.63528	11.648441	10.163568	12.940173	21.383422	6.453411	3.356815	7.486586	10.689556	13.340898	6.381543	8.569473	4.93116	7.561712	1.52667	8.189946
